iid	lat	long	time	sex	analyis_label	label	source	udg	data_type	location	country	coverage	n_snps
HG01501	37.4	-6	-2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01503	37.4	-6	-2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01504	37.4	-6	-2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01506	37.4	-6	-2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01507	37.4	-6	-2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01509	37.4	-6	-2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01510	37.4	-6	-2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01512	37.4	-6	-2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01513	37.4	-6	-2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01515	42.8	-2.7	-2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01516	42.8	-2.7	-2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01518	42.8	-2.7	-2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01524	37.4	-6	-2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01527	37.4	-6	-2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01528	37.4	-6	-2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01530	37.4	-6	-2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01536	37.4	-6	-2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01537	37.4	-6	-2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01605	37.4	-6	-2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01606	37.4	-6	-2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01607	37.4	-6	-2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01608	37.4	-6	-2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01613	37.4	-6	-2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01615	37.4	-6	-2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01617	37.4	-6	-2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01618	37.4	-6	-2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01619	37.4	-6	-2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01620	37.4	-6	-2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01623	37.4	-6	-2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01624	37.4	-6	-2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01625	37.4	-6	-2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01626	37.4	-6	-2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00231	50.3	-4.9	-2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00126	50.3	-4.9	-2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01747	37.4	-6	-2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01746	37.4	-6	-2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01675	37.4	-6	-2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01680	37.4	-6	-2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01682	37.4	-6	-2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01700	42.8	-2.7	-2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01679	37.4	-6	-2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01702	42.8	-2.7	-2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01676	37.4	-6	-2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01684	37.4	-6	-2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01705	37.4	-6	-2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01707	37.4	-6	-2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01685	37.4	-6	-2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01686	37.4	-6	-2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01704	37.4	-6	-2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01673	37.4	-6	-2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01761	37.4	-6	-2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01770	37.4	-6	-2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01762	37.4	-6	-2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01773	37.4	-6	-2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG02220	37.4	-6	-2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG02238	37.4	-6	-2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01678	37.4	-6	-2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01699	37.4	-6	-2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01697	37.4	-6	-2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00160	50.3	-4.9	-2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CRO53	43.5	16.4	-2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NOR119	60.4	5.4	-2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NOR124	60.4	5.4	-2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CRO103	43.5	16.4	-2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CRO107	43.5	16.4	-2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BEL57	39.4	15.5	-2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CRO47	43.5	16.4	-2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NOR106	60.4	5.4	-2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CRO41	43.5	16.4	-2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NOR101	60.4	5.4	-2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NOR146	60.4	5.4	-2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NOR108	60.4	5.4	-2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CRO66	43.5	16.4	-2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NOR126	60.4	5.4	-2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NOR107	60.4	5.4	-2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CRO153	43.5	16.4	-2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NOR109	60.4	5.4	-2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SouthFrench3326	46	2	-2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CRO31	43.5	16.4	-2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CRO93	43.5	16.4	-2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SouthFrench3947	46	2	-2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SouthFrench1323	46	2	-2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NOR148	60.4	5.4	-2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CRO48	43.5	16.4	-2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NOR111	60.4	5.4	-2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SouthFrench3951	46	2	-2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SouthFrench3068	46	2	-2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SouthFrench1112	46	2	-2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SouthFrench4018	46	2	-2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
French23812	46	2	-2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
French23814	46	2	-2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
French23821	46	2	-2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
French23830	46	2	-2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
French23833	46	2	-2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
French23862	46	2	-2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
French23915	46	2	-2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
French23919	46	2	-2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
French23989	46	2	-2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
French24061	46	2	-2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
French24075	46	2	-2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
French24076	46	2	-2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
French24090	46	2	-2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
French24118	46	2	-2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
French24120	46	2	-2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
French24124	46	2	-2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
French24144	46	2	-2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
French24148	46	2	-2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
French24178	46	2	-2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
French24247	46	2	-2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
French24381	46	2	-2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
French24400	46	2	-2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
French24408	46	2	-2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
French24433	46	2	-2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
French24434	46	2	-2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
French24437	46	2	-2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
French24690	46	2	-2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
French24817	46	2	-2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
French25068	46	2	-2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ITS2	39.4	15.5	-2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ITS4	39.4	15.5	-2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ITS5	39.4	15.5	-2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ITS7	39.4	15.5	-2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
