iid	lat	long	time
HG01509	37.4	-6	0
HG01510	37.4	-6	0
HG01512	37.4	-6	0
HG01513	37.4	-6	0
HG01515	42.8	-2.7	0
HG01516	42.8	-2.7	0
HG01518	42.8	-2.7	0
HG01524	37.4	-6	0
HG01527	37.4	-6	0
HG01528	37.4	-6	0
HG01530	37.4	-6	0
HG01536	37.4	-6	0
HG01537	37.4	-6	0
HG01605	37.4	-6	0
HG01606	37.4	-6	0
HG01607	37.4	-6	0
HG01608	37.4	-6	0
HG01613	37.4	-6	0
HG01615	37.4	-6	0
HG01617	37.4	-6	0
HG01618	37.4	-6	0
HG01619	37.4	-6	0
HG01620	37.4	-6	0
HG01623	37.4	-6	0
HG01624	37.4	-6	0
HG01625	37.4	-6	0
HG01626	37.4	-6	0
HG00231	50.3	-4.9	0
HG00126	50.3	-4.9	0
HG01747	37.4	-6	0
HG01746	37.4	-6	0
HG01675	37.4	-6	0
HG01680	37.4	-6	0
HG01682	37.4	-6	0
HG01700	42.8	-2.7	0
HG01679	37.4	-6	0
HG01702	42.8	-2.7	0
HG01676	37.4	-6	0
HG01684	37.4	-6	0
HG01705	37.4	-6	0
HG01707	37.4	-6	0
HG01685	37.4	-6	0
HG01686	37.4	-6	0
HG01704	37.4	-6	0
HG01673	37.4	-6	0
HG01761	37.4	-6	0
HG01770	37.4	-6	0
HG01762	37.4	-6	0
HG01773	37.4	-6	0
HG02220	37.4	-6	0
HG02238	37.4	-6	0
HG01678	37.4	-6	0
HG01699	37.4	-6	0
HG01697	37.4	-6	0
HG00160	50.3	-4.9	0
CRO53	43.5	16.4	0
NOR119	60.4	5.4	0
NOR124	60.4	5.4	0
CRO103	43.5	16.4	0
CRO107	43.5	16.4	0
BEL57	39.4	15.5	0
CRO47	43.5	16.4	0
NOR106	60.4	5.4	0
CRO41	43.5	16.4	0
NOR101	60.4	5.4	0
NOR146	60.4	5.4	0
NOR108	60.4	5.4	0
CRO66	43.5	16.4	0
NOR126	60.4	5.4	0
NOR107	60.4	5.4	0
CRO153	43.5	16.4	0
NOR109	60.4	5.4	0
SouthFrench3326	46	2	0
CRO31	43.5	16.4	0
CRO93	43.5	16.4	0
SouthFrench3947	46	2	0
SouthFrench1323	46	2	0
NOR148	60.4	5.4	0
CRO48	43.5	16.4	0
NOR111	60.4	5.4	0
SouthFrench3951	46	2	0
SouthFrench3068	46	2	0
SouthFrench1112	46	2	0
SouthFrench4018	46	2	0
French23812	46	2	0
French23814	46	2	0
French23821	46	2	0
French23830	46	2	0
French23833	46	2	0
French23862	46	2	0
French23915	46	2	0
French23919	46	2	0
French23989	46	2	0
French24061	46	2	0
French24075	46	2	0
French24076	46	2	0
French24090	46	2	0
French24118	46	2	0
French24120	46	2	0
French24124	46	2	0
French24144	46	2	0
French24148	46	2	0
French24178	46	2	0
French24247	46	2	0
French24381	46	2	0
French24400	46	2	0
French24408	46	2	0
French24433	46	2	0
French24434	46	2	0
French24437	46	2	0
French24690	46	2	0
French24817	46	2	0
French25068	46	2	0
ITS2	39.4	15.5	0
ITS4	39.4	15.5	0
ITS5	39.4	15.5	0
ITS7	39.4	15.5	0
