ID	lat	long	sex	analyis_label	label	source	udg	data_type	time	location	country	coverage	n_snps
I0059	51.82	10.91	F	Europe_LNBA	BenzigerodeHeimburg_LN	MathiesonNature2015	Mixed:half+plus	1240K.capture	3796	Benzingerode-Heimburg	Germany	1.303	752357
I0104	51.42	11.68	M	Europe_LNBA	Corded_Ware_Germany	MathiesonNature2015	plus	1240K.capture	3927	Esperstedt	Germany	4.184	990775
I0103	51.42	11.68	F	Europe_LNBA	Corded_Ware_Germany	MathiesonNature2015	Mixed:half+plus	1240K.capture	4000	Esperstedt	Germany	17.528	1109474
I0049	51.42	11.68	F	Europe_LNBA	Corded_Ware_Germany	MathiesonNature2015	plus	1240K.capture	3867	Esperstedt	Germany	0.649	534318
I0117	51.42	11.68	F	Europe_LNBA	Unetice_EBA	MathiesonNature2015	Mixed:half+plus	1240K.capture	3743	Esperstedt	Germany	1.902	874673
I0409	42.5	0.5	F	Europe_EN	Iberia_EN	MathiesonNature2015	plus	1240K.capture	6280	Els Trocs	Spain	0.686	528513
I0412	42.5	0.5	M	Europe_EN	Iberia_EN	MathiesonNature2015	half	1240K.capture	6249	Els Trocs	Spain	13.785	1025420
I0054	51.66	11.53	F	Europe_EN	LBK_EN	MathiesonNature2015	plus	1240K.capture	6180	Unterwiederstedt	Germany	18.61	1032320
I0106	51.42	11.68	F	Europe_LNBA	Corded_Ware_Germany	MathiesonNature2015	plus	1240K.capture	3867	Esperstedt	Germany	0.224	230482
I0115	51.42	11.68	F	Europe_LNBA	Unetice_EBA	MathiesonNature2015	plus	1240K.capture	3540	Esperstedt	Germany	0.409	365760
I0116	51.42	11.68	M	Europe_LNBA	Unetice_EBA	MathiesonNature2015	plus	1240K.capture	3650	Esperstedt	Germany	1.648	640413
I0803	51.167663	11.847527	F	Europe_LNBA	Unetice_EBA	MathiesonNature2015	half	1240K.capture	3650	Eulau	Germany	0.228	224184
I0804	51.167663	11.847527	M	Europe_LNBA	Unetice_EBA	MathiesonNature2015	half	1240K.capture	3671	Eulau	Germany	0.054	62496
I0047	51.89	11.04	F	Europe_LNBA	Unetice_EBA	MathiesonNature2015	half	1240K.capture	3612	Halberstadt-Sonntagsfeld	Germany	1.655	836247
I0048	51.89	11.04	M	Europe_EN	LBK_EN	MathiesonNature2015	half	1240K.capture	6153	Halberstadt-Sonntagsfeld	Germany	0.456	422925
I0057	51.89	11.04	F	Europe_EN	LBK_EN	MathiesonNature2015	half	1240K.capture	6173	Halberstadt-Sonntagsfeld	Germany	0.139	151700
I0099	51.89	11.04	M	Europe_LNBA	Halberstadt_LBA	MathiesonNature2015	half	1240K.capture	2889	Halberstadt-Sonntagsfeld	Germany	4.948	985957
I0046	51.89	11.04	F	Europe_EN	LBK_EN	MathiesonNature2015	half	1240K.capture	6137	Halberstadt-Sonntagsfeld	Germany	1.945	907019
I0550	51.273	11.6559	F	Europe_LNBA	Karsdorf_LN	MathiesonNature2015	half	1240K.capture	3993	Karsdorf	Germany	0.15	166519
I0795	51.273	11.6559	M	Europe_EN	LBK_EN	MathiesonNature2015	half	1240K.capture	6174	Karsdorf	Germany	0.097	107480
I0559	51.79	11.14	M	Europe_MNChL	Baalberge_MN	MathiesonNature2015	half	1240K.capture	4815	Quedlinburg IX	Germany	0.163	178578
I0164	51.79	11.14	F	Europe_LNBA	Unetice_EBA	MathiesonNature2015	plus	1240K.capture	3599	Quedlinburg VIII	Germany	2.487	863754
I0176	46.4	18.74	F	Europe_EN	LBKT_EN	MathiesonNature2015	plus	1240K.capture	6110	Szemely-Hegyes	Hungary	0.066	71473
I0410	42.5	0.5	M	Europe_EN	Iberia_EN	MathiesonNature2015	plus	1240K.capture	6217	Els Trocs	Spain	1.305	528396
I0413	42.5	0.5	F	Europe_EN	Iberia_EN	MathiesonNature2015	plus	1240K.capture	6234	Els Trocs	Spain	1.572	657071
I1498	47.52	21.589	F	Europe_EN	Hungary_MN	MathiesonNature2015	half	1240K.capture	6207	Debrecen Tocopart Erdoalja	Hungary	4.879	839760
